"","id","date","tavg"
"570","RSM00028900",1991-07-24,265
"571","RSM00028900",1991-07-25,227
"572","RSM00028900",1991-07-26,214
"573","RSM00028900",1991-07-27,209
"574","RSM00028900",1991-07-28,200
"575","RSM00028900",1991-07-29,181
"576","RSM00028900",1991-07-30,195
"577","RSM00028900",1991-07-31,215
"578","RSM00028900",1991-08-01,213
"579","RSM00028900",1991-08-02,176
"580","RSM00028900",1991-08-03,179
"581","RSM00028900",1991-08-04,162
"582","RSM00028900",1991-08-05,150
"583","RSM00028900",1991-08-06,153
"584","RSM00028900",1991-08-07,190
"585","RSM00028900",1991-08-08,229
"586","RSM00028900",1991-08-09,207
"587","RSM00028900",1991-08-10,154
"588","RSM00028900",1991-08-11,156
"589","RSM00028900",1991-08-12,180
"590","RSM00028900",1991-08-13,181
"591","RSM00028900",1991-08-14,157
"592","RSM00028900",1991-08-15,164
"593","RSM00028900",1991-08-16,147
"594","RSM00028900",1991-08-17,159
"595","RSM00028900",1991-08-18,164
"596","RSM00028900",1991-08-19,199
"597","RSM00028900",1991-08-20,217
"598","RSM00028900",1991-08-21,237
"599","RSM00028900",1991-08-22,205
"600","RSM00028900",1991-08-23,190
"601","RSM00028900",1991-08-24,167
"602","RSM00028900",1991-08-25,179
"603","RSM00028900",1991-08-26,156
"604","RSM00028900",1991-08-27,157
"605","RSM00028900",1991-08-28,180
"606","RSM00028900",1991-08-29,181
"607","RSM00028900",1991-08-30,172
"608","RSM00028900",1991-08-31,165
"609","RSM00028900",1991-09-01,170
"610","RSM00028900",1991-09-02,146
"611","RSM00028900",1991-09-03,121
"612","RSM00028900",1991-09-04,131
"613","RSM00028900",1991-09-05,180
"614","RSM00028900",1991-09-06,199
"615","RSM00028900",1991-09-07,164
"616","RSM00028900",1991-09-08,102
"617","RSM00028900",1991-09-09,93
"618","RSM00028900",1991-09-10,103
"619","RSM00028900",1991-09-11,124
"620","RSM00028900",1991-09-12,153
"621","RSM00028900",1991-09-13,145
"622","RSM00028900",1991-09-14,103
"623","RSM00028900",1991-09-15,80
"624","RSM00028900",1991-09-16,80
"625","RSM00028900",1991-09-17,114
"626","RSM00028900",1991-09-18,135
"627","RSM00028900",1991-09-19,109
"628","RSM00028900",1991-09-20,82
"629","RSM00028900",1991-09-21,90
"630","RSM00028900",1991-09-22,109
"631","RSM00028900",1991-09-23,131
"632","RSM00028900",1991-09-24,93
"633","RSM00028900",1991-09-25,107
"634","RSM00028900",1991-09-26,131
"635","RSM00028900",1991-09-27,158
"636","RSM00028900",1991-09-28,165
"637","RSM00028900",1991-09-29,183
"638","RSM00028900",1991-09-30,144
"639","RSM00028900",1991-10-01,96
"640","RSM00028900",1991-10-02,133
"641","RSM00028900",1991-10-03,182
"642","RSM00028900",1991-10-04,176
"643","RSM00028900",1991-10-05,172
"644","RSM00028900",1991-10-06,132
"645","RSM00028900",1991-10-07,109
"646","RSM00028900",1991-10-08,109
"647","RSM00028900",1991-10-09,84
"648","RSM00028900",1991-10-10,70
"649","RSM00028900",1991-10-11,90
"650","RSM00028900",1991-10-12,102
"651","RSM00028900",1991-10-13,68
"652","RSM00028900",1991-10-14,99
"653","RSM00028900",1991-10-15,106
"654","RSM00028900",1991-10-16,115
"655","RSM00028900",1991-10-17,128
"656","RSM00028900",1991-10-18,130
"657","RSM00028900",1991-10-19,126
"658","RSM00028900",1991-10-20,134
"659","RSM00028900",1991-10-21,138
"660","RSM00028900",1991-10-22,167
"661","RSM00028900",1991-10-23,160
"662","RSM00028900",1991-10-24,104
"663","RSM00028900",1991-10-25,67
"664","RSM00028900",1991-10-26,34
"665","RSM00028900",1991-10-27,25
"666","RSM00028900",1991-10-28,40
"667","RSM00028900",1991-10-29,20
"668","RSM00028900",1991-10-30,3
"669","RSM00028900",1991-10-31,-6
"670","RSM00028900",1991-11-01,-17
"671","RSM00028900",1991-11-02,-69
"672","RSM00028900",1991-11-03,-83
"673","RSM00028900",1991-11-04,-90
"674","RSM00028900",1991-11-05,-78
"675","RSM00028900",1991-11-06,-70
"676","RSM00028900",1991-11-07,-12
"677","RSM00028900",1991-11-08,-17
"678","RSM00028900",1991-11-09,-12
"679","RSM00028900",1991-11-10,11
"680","RSM00028900",1991-11-11,20
"681","RSM00028900",1991-11-12,42
"682","RSM00028900",1991-11-13,9
"683","RSM00028900",1991-11-14,7
"684","RSM00028900",1991-11-15,-15
"685","RSM00028900",1991-11-16,-9
"686","RSM00028900",1991-11-17,-27
"687","RSM00028900",1991-11-18,-30
"688","RSM00028900",1991-11-19,-19
"689","RSM00028900",1991-11-20,-29
"690","RSM00028900",1991-11-21,-37
"691","RSM00028900",1991-11-22,-15
"692","RSM00028900",1991-11-23,2
"693","RSM00028900",1991-11-24,0
"694","RSM00028900",1991-11-25,-1
"695","RSM00028900",1991-11-26,-5
"696","RSM00028900",1991-11-27,-8
"697","RSM00028900",1991-11-28,-9
"698","RSM00028900",1991-11-29,4
"699","RSM00028900",1991-11-30,-2
"700","RSM00028900",1991-12-01,-1
"701","RSM00028900",1991-12-02,-9
"702","RSM00028900",1991-12-03,-21
"703","RSM00028900",1991-12-04,-18
"704","RSM00028900",1991-12-05,-14
"705","RSM00028900",1991-12-06,-16
"706","RSM00028900",1991-12-07,-39
"707","RSM00028900",1991-12-08,-45
"708","RSM00028900",1991-12-09,-171
"709","RSM00028900",1991-12-10,-191
"710","RSM00028900",1991-12-11,-118
"711","RSM00028900",1991-12-12,-75
"712","RSM00028900",1991-12-13,-144
"713","RSM00028900",1991-12-14,-58
"714","RSM00028900",1991-12-15,-18
"715","RSM00028900",1991-12-16,-52
"716","RSM00028900",1991-12-17,-100
"717","RSM00028900",1991-12-18,-153
"718","RSM00028900",1991-12-19,-167
"719","RSM00028900",1991-12-20,-175
"720","RSM00028900",1991-12-21,-150
"721","RSM00028900",1991-12-22,-153
"722","RSM00028900",1991-12-23,-163
